Date,Tone,Unc,Con,SPX Value
30/01/2013,0.158982172,-0.077887196,-0.02273906,1501.96
20/03/2013,0.218299015,-0.045642529,-0.031466831,1558.71
01/05/2013,0.226859561,-0.035411442,-0.024770846,1582.7
19/06/2013,0.21959486,-0.024053583,-0.025795327,1628.93
31/07/2013,0.214167313,-0.03964194,-0.029516418,1685.73
18/09/2013,0.328731893,-0.061625921,0.038704828,1725.52
30/10/2013,0.287442782,-0.053480052,0.049521129,1763.31
18/12/2013,0.297704846,-0.007890307,0.052093735,1810.65
29/01/2014,0.312794516,0.005807235,0.058211785,1774.2
19/03/2014,0.397755455,-0.011359886,0.075304432,1860.77
30/04/2014,0.420296235,-0.049048941,0.079842235,1883.95
18/06/2014,0.431110204,-0.023873229,0.08145042,1956.98
30/07/2014,0.426888358,-0.022266422,0.081650368,1970.07
17/09/2014,0.415346707,-0.050510976,0.078897561,2001.57
29/10/2014,0.267901362,-0.152993343,0.029468381,1982.3
17/12/2014,0.238266935,-0.095246774,0.017062419,2012.89
28/01/2015,0.23929983,-0.126987905,0.013850256,2002.16
18/03/2015,0.289586678,-0.089404047,0.031547386,2099.5
29/04/2015,0.305665909,-0.095065734,0.023990385,2106.85
17/06/2015,0.281097822,-0.138242287,0.02906588,2100.44
29/07/2015,0.284989358,-0.092060183,0.029236147,2108.57
17/09/2015,0.249939685,-0.108206993,7.76E-05,1990.2
28/10/2015,0.263202491,-0.08857669,0.026445374,2090.35
16/12/2015,0.277086184,-0.022688322,0.046094901,2073.07
27/01/2016,0.318235149,-0.025179965,0.055480492,1882.95
16/03/2016,0.285278571,-0.022248214,0.048416964,2027.22
27/04/2016,0.323156228,-0.002816904,0.058606406,2095.15
15/06/2016,0.304258106,-0.031190346,0.050431876,2071.5
27/07/2016,0.285939234,-0.008552372,0.044680839,2166.58
21/09/2016,0.310877133,0.008385495,0.055214676,2163.12
02/11/2016,0.287064125,-0.002168284,0.045391334,2097.94
14/12/2016,0.229451948,-0.023725603,0.027187013,2253.28
01/02/2017,0.222506163,-0.030862624,0.023693837,2279.55
15/03/2017,0.230393069,-0.044311683,0.025473465,2385.26
03/05/2017,0.253298488,-0.01465293,0.037222117,2388.13
14/06/2017,0.157817096,-0.048183824,0.007040441,2437.92
27/07/2017,0.128477282,-0.046020194,-0.002202718,2475.42
20/09/2017,0.070633077,-0.066632692,-0.019191154,2508.24
01/11/2017,0.096149315,-0.065563209,-0.009153229,2579.36
13/12/2017,0.101183547,-0.035442308,-0.010691026,2662.85
31/01/2018,0.078183971,-0.027573206,-0.019687081,2823.81
02/05/2018,0.15161564,-0.024153081,0.000653555,2635.67
01/08/2018,0.204563455,0.029676412,0.02719103,2813.36
08/11/2018,0.208650342,0.027520548,0.024958562,2806.83
30/01/2019,0.161040317,-0.023673968,0.01207619,2681.05
01/05/2019,0.119140717,-0.033616612,0.003065147,2923.73
31/07/2019,0.095583602,-0.040741129,0.003345968,2980.38
29/11/2019,-0.041688644,-0.084115142,-0.032378864,3140.98
29/01/2020,0.020689037,0.011588704,-0.014323588,3273.4
29/04/2020,0.203117848,0.050008802,0.007133007,2939.51
11/05/2020,0.155869955,-0.022747534,0.008525336,2930.32
29/07/2020,0.259551136,0.052662727,0.039540455,3258.44
16/09/2020,0.169041425,-0.015914031,0.015149889,3385.49
16/12/2020,0.1941,-0.011910947,0.017452632,3701.17
27/01/2021,0.164474113,-0.024990397,-0.002416284,3750.77
11/03/2021,0.366675484,0.071020645,0.056125645,3939.34
17/03/2021,0.177073053,-0.023884,-0.001119789,3974.12
28/04/2021,0.28056234,0.018151702,0.036711702,4183.18
16/06/2021,0.280153105,0.011652034,0.044941328,4223.7
28/07/2021,0.282444813,0.014551867,0.046805187,4400.64
22/09/2021,0.280429681,-0.008985259,0.045648406,4395.64
15/12/2021,0.345647601,0.040754127,0.036677159,4709.85
26/01/2022,0.258923333,-0.013804286,0.02308119,4349.93
11/02/2022,-0.053065385,-0.177583242,-0.077953297,4418.64
16/03/2022,0.071275083,-0.134835216,0.013633223,4357.86
05/04/2022,0.08782507,-0.10840338,0.018998873,4525.12
15/06/2022,0.028971924,-0.209778864,-0.016031546,3789.99
27/07/2022,-0.010954362,-0.211242953,-0.029776174,4023.61
21/09/2022,0.003485235,-0.208135906,-0.026669128,3789.93
14/12/2022,-0.060070879,-0.180825,-0.081195055,3995.32
02/01/2023,-0.041707256,-0.157481388,-0.088600946,3839.5
11/01/2023,0.02346,-0.164846364,-0.016130303,3969.61
22/03/2023,0.026065352,-0.134042817,-0.057119155,3936.97
14/06/2023,0.013922424,-0.165436061,-0.018678788,4372.59
26/07/2023,-0.000554658,-0.170404037,-0.022263975,4566.75
20/09/2023,0.003493827,-0.16891821,-0.021308025,4402.2
13/12/2023,0.042162757,-0.159426686,-0.009369501,4707.09
